83:6,5,3,3,2,5,2,4,2,8,5,5,4,2,5,6,7,2,7,4,9,8,5,6,9,5,7,4,7,7
84:7,6,3,2,8,3,8,3,6,1,3,4,3,8,2,9,8,4,9,2,5,5,7,8,6,4,8,8,4,7
85:9,9,3,8,1,6,5,9,2,2,3,9,4,6,6,1,9,6,9,2,7,6,6,8,7,1,5,4,1,2
86:8,5,9,2,9,5,5,1,5,4,2,1,8,3,6,1,4,8,6,9,1,2,7,1,5,2,1,9,3,9
87:3,7,5,3,2,9,3,4,2,2,9,5,1,6,1,2,9,4,3,7,2,1,8,4,6,5,7,3,3,2
88:1,7,1,2,6,8,4,8,4,3,8,9,8,5,4,7,6,1,5,6,8,4,9,7,1,7,6,1,7,3
89:3,5,3,1,7,9,4,8,8,2,7,8,3,3,9,7,8,6,3,3,7,2,7,4,6,8,5,3,6,9
90:5,1,9,1,3,6,9,3,5,8,5,4,8,2,8,4,1,5,6,4,8,8,4,9,8,3,7,6,2,5
91:3,3,3,5,7,2,3,3,5,1,5,6,7,6,8,7,2,7,3,4,2,5,5,5,2,4,3,3,7,2
92:3,6,7,3,8,7,4,2,5,3,3,4,9,1,8,3,1,6,6,7,7,2,7,1,4,1,3,3,3,2
93:8,9,7,7,4,7,8,1,5,7,4,7,8,7,5,5,4,9,7,3,4,3,7,1,9,4,3,2,7,2
94:5,9,1,7,9,2,6,8,1,1,4,2,7,5,9,6,5,1,1,8,5,8,3,9,3,2,8,3,7,6
95:9,8,5,3,2,9,9,1,9,4,8,3,9,8,1,4,5,8,1,2,5,1,8,5,8,6,2,1,5,4
96:2,6,5,5,8,1,4,9,8,2,1,2,8,8,3,5,8,9,8,4,9,5,7,4,2,3,1,7,2,6
97:4,5,8,7,1,5,2,7,3,7,1,9,9,1,9,7,7,6,2,1,9,9,1,2,4,4,9,6,7,6
98:1,1,3,8,8,1,9,2,7,2,5,3,5,1,2,3,2,2,6,9,6,4,7,7,9,3,2,9,7,8
99:9,4,4,5,4,3,3,1,3,6,6,2,8,3,7,4,3,2,8,4,2,3,2,3,3,8,5,5,9,7
100:5,6,4,7,9,4,6,3,2,4,7,5,5,8,3,2,2,6,3,8,1,3,2,2,6,7,9,1,1,7
